name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
Australian Pacific College Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、アクティビティ充実。授業料は週210〜340USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business",budget,210,340,"activities,accommodation",https://www.apc.edu.au/,"Level 4, 250 Collins Street, Melbourne VIC 3000",FALSE,2005,140,15,12,12,16,6,info@australian-pacific-college-melbourne.example.com,+61-7-6843-4109,Parliament,-37.8103,144.9679,english,neas,"wifi,lounge,study-room,library","homestay,hostel",TRUE,2
Step One College Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する語学学校。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。日本人スタッフ常駐、アクティビティ充実。授業料は週200〜310USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,conversation",budget,200,310,"japanese-staff,activities",https://www.steponecollege.edu.au/,"Level 5, 307 Pitt Street, Sydney NSW 2000",FALSE,2009,205,14,34,13,18,9,info@step-one-college-sydney.example.com,+61-8-6309-3708,Wynyard,-33.8656,151.2009,english,"neas,cambridge-english","wifi,lounge,study-room,library",,TRUE,2
La Lingua Language School Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する語学学校。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。少人数制クラス、アクティビティ充実。授業料は週280〜430USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,conversation",standard,280,430,"small-class,activities",https://www.lalingua.com/,"Level 4, 127 Liverpool Street, Sydney NSW 2000",FALSE,1995,472,9,25,34,18,34,info@la-lingua-language-school-sydney.example.com,+61-4-8964-3800,Circular Quay,-33.8646,151.2027,english,neas,"wifi,lounge,computer-lab",,FALSE,1
TAFE NSW (English Language Centre),オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週280〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,exam-prep,intensive",standard,280,440,"certificate,activities,accommodation",https://www.tafensw.edu.au/,"710 Harris Street, Ultimo NSW 2007",FALSE,2014,512,10,11,23,16,34,info@tafe-nsw-english-language-centre.example.com,+61-8-6581-5357,Wynyard,-33.8592,151.2164,english,"neas,cambridge-english","wifi,lounge,study-room,library","homestay,student-residence,shared-apartment",TRUE,2
Wollongong English Language Centre,オーストラリア,ウーロンゴン,オーストラリアのウーロンゴンに位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週290〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,intensive",standard,290,440,"accommodation,activities,certificate",https://www.uow.edu.au/,"Northfields Avenue, Wollongong NSW 2522",FALSE,2001,538,12,13,17,16,29,info@wollongong-english-language-centre.example.com,+61-3-7824-2293,,42.7606,-144.8948,english,"neas,cambridge-english,ialc","wifi,lounge,study-room,library","homestay,student-residence",TRUE,2
Greystone College Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語とビジネス英語コースを提供しキャリアアップにも対応。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週280〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,business,intensive",standard,280,420,"certificate,activities,accommodation",https://www.greystonecollege.com/,"560 Granville Street, Vancouver BC V6C 1W6",FALSE,2002,346,13,18,25,18,17,info@greystone-college-vancouver.example.com,+1-859-2941451,Granville,49.279,-123.1144,english,languages-canada,"wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,2
Greystone College Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語とビジネス英語コースを提供しキャリアアップにも対応。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週280〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,business,intensive",standard,280,420,"certificate,activities,accommodation",https://www.greystonecollege.com/,"112 Elizabeth Street, Toronto ON M5G 1P5",FALSE,2012,312,13,12,25,16,16,info@greystone-college-toronto.example.com,+1-339-6003949,Union Station,43.6615,-79.3881,english,languages-canada,"wifi,lounge,study-room,kitchen","homestay,student-residence",TRUE,1
LSI Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。世界各地に展開するLanguage Studies International（LSI）の校舎。少人数制の授業と個別対応の丁寧な指導が特徴。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,conversation",standard,270,410,"small-class,activities,accommodation",https://www.lsi.edu/,"101-808 Nelson Street, Vancouver BC V6Z 2H2",FALSE,1965,488,10,11,36,18,32,info@lsi-vancouver.example.com,+1-414-7257358,Granville,49.2884,-123.1187,english,languages-canada,"wifi,lounge,study-room,library","homestay,student-residence,shared-apartment",FALSE,2
LSI Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。世界各地に展開するLanguage Studies International（LSI）の校舎。少人数制の授業と個別対応の丁寧な指導が特徴。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,conversation",standard,270,410,"small-class,activities,accommodation",https://www.lsi.edu/,"1055 Yonge Street, Suite 210, Toronto ON M4W 2L2",FALSE,1965,524,9,16,19,16,38,info@lsi-toronto.example.com,+1-667-6244802,Union Station,43.6609,-79.4004,english,,"wifi,lounge,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",FALSE,1
EF Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。世界最大の語学教育機関EF Education Firstの校舎。60年以上の歴史と最先端のEFメソッドで効率的な語学習得をサポート。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週350〜530USD（プレミアム帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",premium,350,530,"online-support,activities,accommodation,certificate",https://www.ef.com/,"929 Granville Street, Vancouver BC V6Z 1L3",FALSE,1965,629,11,18,80,16,38,info@ef-vancouver.example.com,+1-307-6024554,Granville,49.2838,-123.1179,english,languages-canada,"wifi,lounge,study-room,library,computer-lab,kitchen,cafe","homestay,student-residence",TRUE,1
EF Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。世界最大の語学教育機関EF Education Firstの校舎。60年以上の歴史と最先端のEFメソッドで効率的な語学習得をサポート。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週350〜530USD（プレミアム帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",premium,350,530,"online-support,activities,accommodation,certificate",https://www.ef.com/,"80 Peter Street, Toronto ON M5V 2G5",FALSE,1965,1061,10,12,61,18,70,info@ef-toronto.example.com,+1-613-2247124,Union Station,43.6532,-79.394,english,,"wifi,lounge,study-room,library,computer-lab,cafe,garden","homestay,student-residence",TRUE,1
St George International College Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business,conversation",standard,260,400,"certificate,activities,accommodation",https://www.sgiccanada.com/,"605 Robson Street, Vancouver BC V6B 5J3",FALSE,2009,566,13,20,23,18,29,info@st-george-international-college-vancouver.example.com,+1-447-9845138,Waterfront,49.2861,-123.1167,english,,"wifi,lounge,study-room,computer-lab","homestay,student-residence,shared-apartment",FALSE,1
SGIC Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business,conversation",standard,260,400,"certificate,activities,accommodation",https://www.sgiccanada.com/,"605 Robson Street, Vancouver BC V6B 5J3",FALSE,1994,489,12,20,32,18,27,info@sgic-vancouver.example.com,+1-513-3605426,Burrard,49.2801,-123.124,english,languages-canada,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence,shared-apartment",TRUE,1
Hansa Language Centre Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、アクティビティ充実。授業料は週220〜350USD（リーズナブル帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",budget,220,350,"activities,accommodation",https://www.hansacanada.com/,"51 Eglinton Avenue East, Toronto ON M4P 1G7",FALSE,1969,87,14,17,10,18,4,info@hansa-language-centre-toronto.example.com,+1-589-8189024,Bathurst,43.6583,-79.3983,english,languages-canada,"wifi,lounge,study-room,library","homestay,hostel",TRUE,1
BLI Montreal,カナダ,モントリオール,英語とフランス語が共存するバイリンガル都市でヨーロッパ風の街並みが美しいに位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週250〜390USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,exam-prep,conversation,intensive",standard,250,390,"small-class,activities,accommodation",https://www.bfriendenglish.com/,"70 Notre-Dame West, Suite 400, Montreal QC H2Y 1T1",FALSE,1976,387,7,15,18,18,36,info@bli-montreal.example.com,+1-818-7488697,,45.5082,-73.5715,"english,french",languages-canada,"wifi,lounge,study-room,library","homestay,student-residence,shared-apartment",FALSE,1
BLI Quebec City,カナダ,ケベックシティ,カナダのケベックシティに位置する語学学校。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週240〜380USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,conversation",standard,240,380,"small-class,activities,accommodation",https://www.bfriendenglish.com/,"763 Rue Saint-Joseph Est, Quebec QC G1K 3C6",FALSE,1976 (company); Quebec City location timing uncertain,202,7,16,15,18,19,info@bli-quebec-city.example.com,+1-540-8443032,,-29.5789,59.119,english,"languages-canada,ialc","wifi,lounge,library","homestay,student-residence",TRUE,1
Cornerstone International Community College Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語とビジネス英語コースを提供しキャリアアップにも対応。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,business,intensive",standard,260,400,"certificate,activities,accommodation",https://www.ciccc.ca/,"816 Granville Street, Vancouver BC V6Z 1K3",FALSE,1980,308,12,14,36,18,17,info@cornerstone-international-community-college-vancouver.example.com,+1-460-6251086,Waterfront,49.2796,-123.1215,english,languages-canada,"wifi,lounge,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,1
Canadian College Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語とビジネス英語コースを提供しキャリアアップにも対応。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,business,intensive",standard,270,410,"certificate,activities,accommodation",https://www.canadiancollege.com/,"1050 Alberni Street, Vancouver BC V6E 1A3",FALSE,2001,446,14,9,19,18,21,info@canadian-college-vancouver.example.com,+1-217-8055757,Burrard,49.2744,-123.1303,english,eaquals,"wifi,lounge,study-room,kitchen","homestay,student-residence,shared-apartment",TRUE,1
Stafford House Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。英国の語学学校チェーンStafford Houseの校舎。ケンブリッジ英検の公式テストセンター認定校として試験対策に強い。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週280〜430USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",standard,280,430,"activities,accommodation,certificate",https://www.staffordhouse.com/,"5 Park Home Avenue, Toronto ON M2N 6L4",FALSE,2017 (Canada location),246,15,10,36,16,10,info@stafford-house-toronto.example.com,+1-611-8638751,Bathurst,43.664,-79.3974,english,languages-canada,"wifi,lounge,study-room,library,kitchen","homestay,student-residence",TRUE,2
Quest Language Studies Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.studyquest.net/,"433 Yonge Street, Toronto ON M5B 1T3",FALSE,1997,292,10,8,35,16,19,info@quest-language-studies-toronto.example.com,+1-494-8395951,Dundas,43.6631,-79.4034,english,languages-canada,"wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence",TRUE,1
OHC Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。ロンドン発のOxford House College（OHC）の校舎。少人数制の質の高い授業と手頃な価格のバランスが魅力。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.ohcenglish.com/,"469 Jarvis Street, Toronto ON M4Y 2G8",FALSE,1974,452,8,20,35,16,37,info@ohc-toronto.example.com,+1-993-5794893,Union Station,43.6636,-79.389,english,"languages-canada,eaquals","wifi,lounge,study-room,library,computer-lab","homestay,student-residence,shared-apartment",TRUE,1
OHC Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。ロンドン発のOxford House College（OHC）の校舎。少人数制の質の高い授業と手頃な価格のバランスが魅力。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.ohcenglish.com/,"322 Water Street, Vancouver BC V6B 1B6",FALSE,1974,338,10,16,22,16,22,info@ohc-vancouver.example.com,+1-583-7599385,Burrard,49.2823,-123.1271,english,"languages-canada,ialc","wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence",TRUE,2
Eurocentres Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。スイス発の語学教育機関Eurocentresの校舎。70年以上の歴史と独自の品質管理で世界トップクラスの教育水準を維持。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、オンライン学習サポート、宿泊手配対応。授業料は週320〜490USD（プレミアム帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",premium,320,490,"small-class,online-support,activities,accommodation",https://www.eurocentres.com/,"250-815 West Hastings Street, Vancouver BC V6C 1B4",FALSE,1948,722,8,10,51,18,60,info@eurocentres-vancouver.example.com,+1-239-2586626,Granville,49.2858,-123.1165,english,,"wifi,lounge,study-room,library,kitchen,cafe","homestay,student-residence,shared-apartment,studio,hotel",TRUE,1
Eurocentres Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。スイス発の語学教育機関Eurocentresの校舎。70年以上の歴史と独自の品質管理で世界トップクラスの教育水準を維持。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、オンライン学習サポート、宿泊手配対応。授業料は週320〜490USD（プレミアム帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",premium,320,490,"small-class,online-support,activities,accommodation",https://www.eurocentres.com/,"111 Peter Street, Toronto ON M5V 2H1",FALSE,1948,884,8,19,58,18,73,info@eurocentres-toronto.example.com,+1-291-4643942,Dundas,43.6679,-79.3875,english,languages-canada,"wifi,lounge,study-room,library,computer-lab,kitchen,gym","homestay,student-residence",TRUE,1
Atlas Language School Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.atlaslanguageschool.com/,"Suite 200, 548 Beatty Street, Vancouver BC V6B 2L3",FALSE,1986,293,9,17,26,18,21,info@atlas-language-school-vancouver.example.com,+1-535-7924801,Burrard,49.2754,-123.1218,english,"languages-canada,eaquals","wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence",TRUE,2
SELC Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business,conversation",standard,270,410,"activities,accommodation,certificate",https://www.selcedu.com/,"321 Water Street, Vancouver BC V6B 1B8",FALSE,2012,372,13,12,40,16,19,info@selc-vancouver.example.com,+1-989-7854046,Waterfront,49.289,-123.1151,english,languages-canada,"wifi,lounge,library","homestay,student-residence",TRUE,2
Sprott Shaw Language College Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,exam-prep,business,intensive",standard,270,410,"certificate,activities,accommodation",https://www.studysslc.com/,"549 Howe Street, Vancouver BC V6C 2C2",FALSE,2013,295,12,12,38,18,16,info@sprott-shaw-language-college-vancouver.example.com,+1-887-4163103,Burrard,49.2905,-123.1242,english,"languages-canada,ialc","wifi,lounge,study-room,library,computer-lab","homestay,student-residence",FALSE,2
Sprott Shaw Language College Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business",standard,270,410,"certificate,activities,accommodation",https://www.studysslc.com/,"120 Eglinton Avenue East, Toronto ON M4P 1E2",FALSE,1996,498,14,18,24,16,23,info@sprott-shaw-language-college-toronto.example.com,+1-874-5507396,Union Station,43.6555,-79.4053,english,ialc,"wifi,lounge,study-room,library","homestay,student-residence,shared-apartment",TRUE,2
Sprott Shaw Language College Victoria,カナダ,ビクトリア,カナダのビクトリアに位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。治安の良いカナダで安心して語学留学生活を送ることができる。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.studysslc.com/,"31 Bastion Square, Victoria BC V8W 1J1",FALSE,1988,382,8,17,17,18,31,info@sprott-shaw-language-college-victoria.example.com,+1-908-3241067,,48.4379,-123.3605,english,"languages-canada,eaquals","wifi,lounge,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,1
Inlingua Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する語学学校。一般英語とビジネス英語コースを提供しキャリアアップにも対応。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週270〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,business,conversation,intensive",standard,270,420,"small-class,activities,accommodation",https://www.inlinguavancouver.com/,"300-150 Water Street, Vancouver BC V6B 1B2",FALSE,1989,250,10,19,32,18,16,info@inlingua-vancouver.example.com,+1-312-3694539,Burrard,49.2846,-123.1296,english,languages-canada,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
English School of Canada (ESC) Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週270〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。集中コースも用意しており短期間での語学力向上を目指せる。,"general,exam-prep,business,intensive",standard,270,420,"certificate,activities,accommodation",https://www.esc-toronto.com/,"79 St Clair Avenue East, Toronto ON M4T 1M6",FALSE,1999,544,10,13,24,18,36,info@english-school-of-canada-esc-toronto.example.com,+1-263-4597336,Bathurst,43.657,-79.4049,english,languages-canada,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,2
CES Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。Centre of English Studies（CES）の校舎。アイルランドとイギリスに展開し質の高い教育と手厚い学生サポートを提供。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週260〜400USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,conversation",standard,260,400,"small-class,activities,accommodation",https://www.ces-schools.com/,"120 Bloor Street East, Toronto ON M4W 1B8",FALSE,1979 (approximate),317,9,13,17,18,23,info@ces-toronto.example.com,+1-289-2935108,Union Station,43.6646,-79.389,english,languages-canada,"wifi,lounge,study-room,computer-lab,kitchen","homestay,student-residence",TRUE,1
UMC (Upper Madison College) Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、アクティビティ充実。授業料は週240〜370USD（リーズナブル帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",budget,240,370,"activities,accommodation",https://www.umcollege.ca/,"5075 Yonge Street, Toronto ON M2N 6C6",FALSE,2004,195,18,18,16,18,7,info@umc-upper-madison-college-toronto.example.com,+1-438-3548382,Bathurst,43.6554,-79.4017,english,,"wifi,lounge,study-room,library","homestay,hostel",TRUE,1
UMC (Upper Madison College) Montreal,カナダ,モントリオール,英語とフランス語が共存するバイリンガル都市でヨーロッパ風の街並みが美しいに位置する語学学校。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。宿泊手配対応、アクティビティ充実。授業料は週230〜360USD（リーズナブル帯）。治安が良く多文化が共存するワーキングホリデー人気国。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,conversation",budget,230,360,"activities,accommodation",https://www.umcollege.ca/,"360 Rue Saint-Jacques, Montreal QC H2Y 1P5",FALSE,2014,189,15,19,16,18,8,info@umc-upper-madison-college-montreal.example.com,+1-467-9844135,,45.5095,-73.5712,"english,french","languages-canada,eaquals","wifi,lounge,library","homestay,hostel",FALSE,2
