slug,name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
don-quijote-tarragona-tarragona,Don Quijote Tarragona,スペイン,Tarragona,"<p>スペイン・Tarragonaに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週49,135〜57,970円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",standard,49135,57970,activities,https://www.donquijote.org/,"Tarragona, Spain",FALSE,1986,788,11,12,21,16,35,info@don-quijote-tarragona.example.com,+34-18-6430-8998,,,,spanish,other,"wifi,lounge,study-room",,FALSE,1
k2-internacional-cadiz,K2 Internacional Cadiz,スペイン,カディス,"<p>スペイン・カディスに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週44,640〜56,730円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,44640,56730,activities,https://k2internacional.com/,"Cádiz, Spain",FALSE,2006,726,11,4,34,16,33,info@k2-internacional-cadiz.example.com,+34-58-8573-5183,,,,spanish,other,"wifi,lounge,study-room,library,computer-lab",,FALSE,1
clic-international-house-cadiz,CLIC International House Cadiz,スペイン,カディス,"<p>スペイン・カディスに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週44,175〜75,795円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,44175,75795,"activities,accommodation",https://clic.es/,"Cádiz, Spain",FALSE,1999,153,14,21,38,16,5,info@clic-international-house-cadiz.example.com,+34-54-6305-2684,,,,spanish,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
id-nerja-spanish-school,ID Nerja Spanish School,スペイン,ネルハ,"<p>スペイン・ネルハに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週42,005〜59,365円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep,intensive",standard,42005,59365,"activities,accommodation,small-class",https://www.idnerja.com/,"Nerja, Málaga",FALSE,2002,349,7,6,45,16,24,info@id-nerja-spanish-school.example.com,+34-87-8108-5997,,,,spanish,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
instituto-hemingway-bilbao-bilbao,Instituto Hemingway Bilbao,スペイン,Bilbao,"<p>スペイン・Bilbaoに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週36,425〜65,875円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,36425,65875,"activities,accommodation",https://www.institutohemingway.com/,"Bilbao, Spain",FALSE,1999,179,14,14,15,18,6,info@instituto-hemingway-bilbao.example.com,+34-26-9792-5459,,,,spanish,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
spanish-in-cadiz,Spanish in Cadiz,スペイン,カディス,"<p>スペイン・カディスに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週43,400〜74,865円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",standard,43400,74865,"activities,accommodation,small-class",https://www.spanishincadiz.com,"Cádiz, Spain",FALSE,2006,364,8,21,21,18,22,info@spanish-in-cadiz.example.com,+34-99-3050-8795,,,,spanish,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
perfect-english-academy-baguio,Perfect English Academy Baguio,フィリピン,バギオ,"<p>フィリピン・バギオに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週22,165〜52,700円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",budget,22165,52700,"activities,accommodation,small-class",https://perfectenglishacademy.com/,"Baguio City, Philippines",FALSE,2010,340,8,5,27,18,21,info@perfect-english-academy-baguio.example.com,+63-56-3173-3532,,16.4083,120.5916,english,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
sunburst-english-academy-cebu,Sunburst English Academy Cebu,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週32,860〜61,380円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,32860,61380,"activities,accommodation",https://www.sunburst-cebu.com/,"Cebu City, Philippines",FALSE,2013,700,12,10,47,16,29,info@sunburst-english-academy-cebu.example.com,+63-27-2119-2140,,10.3211,123.8949,english,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
talk-english-schools-baguio,TALK English Schools Baguio,フィリピン,バギオ,"<p>フィリピン・バギオに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週23,870〜48,205円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>",general,budget,23870,48205,"activities,accommodation",https://talkenglish.com/,"Baguio City, Philippines",FALSE,2005,229,14,5,30,16,8,info@talk-english-schools-baguio.example.com,+63-76-9777-1295,,16.3957,120.5945,english,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
pines-academy-baguio,Pines Academy Baguio,フィリピン,バギオ,"<p>フィリピン・バギオに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週35,805〜61,690円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",budget,35805,61690,"activities,accommodation,small-class",https://www.pinesenglish.com/,"Baguio City, Philippines",FALSE,2001,355,6,23,30,18,29,info@pines-academy-baguio.example.com,+63-24-5422-7821,,16.4043,120.5988,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
jforrest-english-academy,JForrest English Academy,フィリピン,バギオ,"<p>フィリピン・バギオに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週32,705〜43,865円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>",general,budget,32705,43865,activities,https://jforrest.com/,"Baguio City, Philippines",FALSE,2008,425,12,15,18,18,17,info@jforrest-english-academy.example.com,+63-33-8686-4210,,16.3927,120.6032,english,other,"wifi,lounge,study-room,library",,FALSE,1
cebu-languages-academy,Cebu Languages Academy,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週26,505〜59,830円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",budget,26505,59830,"activities,small-class",https://www.cebulanguages.com/,"Lapu-Lapu City, Mactan Island, Cebu",FALSE,2009,498,9,20,17,16,27,info@cebu-languages-academy.example.com,+63-14-4242-5457,,10.3161,123.8897,english,other,"wifi,lounge,study-room,library",,FALSE,1
cet-cebu-esl-academy,CET Cebu ESL Academy,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週25,265〜53,320円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",budget,25265,53320,"activities,accommodation",https://cetcebu.com/,"Cebu City, Philippines",FALSE,2015,474,13,22,29,16,18,info@cet-cebu-esl-academy.example.com,+63-64-9349-8432,,10.3184,123.8891,english,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
abc-english-school,ABC English School,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週22,475〜50,065円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,22475,50065,activities,https://www.abcenglishschool.com/,"Cebu City, Philippines",FALSE,2011,630,11,14,31,16,28,info@abc-english-school.example.com,+63-50-4917-2022,,10.3064,123.8951,english,other,"wifi,lounge,study-room",,FALSE,1
cwa-english-academy,CWA English Academy,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週19,840〜57,040円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",budget,19840,57040,"activities,small-class",https://www.cwaenglish.com/,"Cebu City, Philippines",FALSE,2010,556,7,13,35,16,39,info@cwa-english-academy.example.com,+63-58-5400-9153,,10.3168,123.8915,english,other,"wifi,lounge,study-room,library",,FALSE,1
philinter-education-center,Philinter Education Center,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週29,915〜56,730円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,29915,56730,"activities,accommodation,small-class",https://philinter.com/,"Lapu-Lapu City, Cebu",FALSE,2003,386,8,5,20,18,24,info@philinter-education-center.example.com,+63-19-2336-4312,,10.311,123.8787,english,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
qq-english-seagarden-campus,QQ English Seagarden Campus,フィリピン,セブ,"<p>フィリピン・セブに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週34,100〜56,575円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",budget,34100,56575,"activities,accommodation",https://www.qqenglish.com/,"Cebu City, Philippines",FALSE,2010,489,10,16,38,16,24,info@qq-english-seagarden-campus.example.com,+63-32-7105-6880,,10.3108,123.8875,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
eurocentres-canada-vancouver,Eurocentres Canada Vancouver,カナダ,バンクーバー,"<p>カナダ・バンクーバーに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週43,245〜69,285円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,43245,69285,"activities,accommodation",https://www.eurocentres.com/,"Vancouver, British Columbia",FALSE,1960,321,14,9,40,18,11,info@eurocentres-canada-vancouver.example.com,+1-57-6572-4050,,49.273,-123.1217,english,languages-canada,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
kaplan-international-canada-toronto,Kaplan International Canada Toronto,カナダ,トロント,"<p>カナダ・トロントに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週44,795〜58,900円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",standard,44795,58900,"activities,accommodation,small-class",https://www.kaplaninternational.com/canada/toronto,"Toronto, Ontario",FALSE,1938,211,6,10,28,16,17,info@kaplan-international-canada-toronto.example.com,+1-76-1105-4013,,43.6483,-79.3863,english,languages-canada,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
cornerstone-english-academy-calgary,Cornerstone English Academy Calgary,カナダ,カルガリー,"<p>カナダ・カルガリーに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週43,555〜60,140円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,43555,60140,activities,https://cornerstoneenglish.com/,"Calgary, Alberta",FALSE,2001,540,13,4,27,16,20,info@cornerstone-english-academy-calgary.example.com,+1-25-9975-8039,,,,english,languages-canada,"wifi,lounge,study-room,library",,FALSE,1
oxford-house-college-vancouver,Oxford House College Vancouver,カナダ,バンクーバー,"<p>カナダ・バンクーバーに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週40,300〜69,750円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,intensive",standard,40300,69750,"activities,accommodation",https://oxfordhousecollege.com/,"Vancouver, British Columbia",FALSE,1997,604,13,18,34,18,23,info@oxford-house-college-vancouver.example.com,+1-88-8601-2607,,49.2895,-123.1116,english,languages-canada,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
global-village-toronto,Global Village Toronto,カナダ,トロント,"<p>カナダ・トロントに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週37,200〜68,510円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,37200,68510,activities,https://gvenglish.com/,"Toronto, Ontario",FALSE,1995,538,11,13,47,16,24,info@global-village-toronto.example.com,+1-33-8023-8119,,43.6443,-79.3806,english,languages-canada,"wifi,lounge,study-room,library",,FALSE,1
ilsc-canada-toronto,ILSC Canada Toronto,カナダ,トロント,"<p>カナダ・トロントに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週44,020〜74,710円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",standard,44020,74710,"activities,accommodation,small-class",https://www.ilsc.com/,"Toronto, Ontario",FALSE,1991,488,9,9,19,16,27,info@ilsc-canada-toronto.example.com,+1-38-5052-7335,,43.6591,-79.3853,english,languages-canada,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
ilsc-canada-vancouver,ILSC Canada Vancouver,カナダ,バンクーバー,"<p>カナダ・バンクーバーに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週37,200〜79,825円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,37200,79825,"activities,accommodation",https://www.ilsc.com/,"Vancouver, British Columbia",FALSE,1991,156,11,18,35,16,7,info@ilsc-canada-vancouver.example.com,+1-51-3311-1790,,49.278,-123.115,english,languages-canada,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
miami-english-academy,Miami English Academy,アメリカ,マイアミ,"<p>アメリカ・マイアミに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週56,575〜86,180円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,56575,86180,"activities,accommodation",https://miamienglishacademy.com/,"Miami, FL",FALSE,1993,416,14,8,16,18,14,info@miami-english-academy.example.com,+1-39-3832-1291,,25.7658,-80.1874,english,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
washington-english-academy-washington,Washington English Academy,アメリカ,Washington,"<p>アメリカ・Washingtonに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週58,590〜70,990円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",standard,58590,70990,"activities,accommodation,small-class",https://washingtonenglishacademy.com/,"Washington, D.C.",FALSE,1991,660,7,7,17,18,47,info@washington-english-academy.example.com,+1-83-7109-9786,,,,english,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
chicago-english-academy,Chicago English Academy,アメリカ,シカゴ,"<p>アメリカ・シカゴに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週52,235〜77,655円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,52235,77655,"activities,accommodation",https://chicagoenglishacademy.com/,"Chicago, IL",FALSE,1992,195,14,16,26,16,6,info@chicago-english-academy.example.com,+1-80-8498-5727,,,,english,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
denver-english-institute,Denver English Institute,アメリカ,デンバー,"<p>アメリカ・デンバーに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週60,760〜81,685円（プレミアム帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",premium,60760,81685,"activities,accommodation,small-class",https://denverenglish.com/,"Denver, CO",FALSE,1988,513,10,14,49,16,25,info@denver-english-institute.example.com,+1-18-1246-4540,,,,english,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
san-francisco-english-academy,San Francisco English Academy,アメリカ,サンフランシスコ,"<p>アメリカ・サンフランシスコに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週48,980〜70,680円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,48980,70680,"activities,accommodation,small-class",https://sfenglishacademy.com/,"San Francisco, CA",FALSE,1990,421,8,14,16,18,26,info@san-francisco-english-academy.example.com,+1-39-8833-2086,,,,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
austin-english-program-austin,Austin English Program,アメリカ,Austin,"<p>アメリカ・Austinに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週61,535〜77,810円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,61535,77810,"activities,accommodation,small-class",https://www.austenenglishprogram.com/,"Austin, TX",FALSE,1994,526,9,6,33,18,29,info@austin-english-program.example.com,+1-62-3112-3209,,,,english,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
seattle-english-academy,Seattle English Academy,アメリカ,シアトル,"<p>アメリカ・シアトルに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週57,815〜91,450円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",standard,57815,91450,activities,https://seattleenglishacademy.com/,"Seattle, WA",FALSE,1997,329,15,20,49,18,10,info@seattle-english-academy.example.com,+1-57-7182-5242,,,,english,other,"wifi,lounge,study-room",,FALSE,1
american-language-institute-boston,American Language Institute Boston,アメリカ,ボストン,"<p>アメリカ・ボストンに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週46,500〜83,390円（プレミアム帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",premium,46500,83390,"activities,accommodation",https://www.alib.org/,"Boston, MA",FALSE,1989,281,13,24,50,18,10,info@american-language-institute-boston.example.com,+1-56-3834-6388,,42.3622,-71.062,english,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
harvest-english-institute-orlando-orlando,Harvest English Institute Orlando,アメリカ,Orlando,"<p>アメリカ・Orlandoに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週49,910〜89,745円（プレミアム帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",premium,49910,89745,"activities,accommodation",https://www.harvestenglish.com/,"Orlando, FL",FALSE,2005,506,11,20,29,16,23,info@harvest-english-institute-orlando.example.com,+1-90-9570-7957,,,,english,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
harvest-english-institute-los-angeles,Harvest English Institute Los Angeles,アメリカ,ロサンゼルス,"<p>アメリカ・ロサンゼルスに位置する英語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的な英語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週47,120〜73,160円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,47120,73160,"activities,accommodation,small-class",https://www.harvestenglish.com/,"Los Angeles, CA",FALSE,2005,327,10,22,22,18,16,info@harvest-english-institute-los-angeles.example.com,+1-13-4571-5878,,,,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
